Lig	Rec	LigRec	pathway	evidence
WNT10B	FZD9	WNT10B_FZD9	WNT	KEGG: hsa04310; PMID: 23209147
WNT16	FZD1	WNT16_FZD1	WNT	KEGG: hsa04310; PMID: 23209147
WNT16	LRP5	WNT16_LRP5	WNT	KEGG: hsa04310; PMID: 23209147
WNT16	FZD10	WNT16_FZD10	WNT	KEGG: hsa04310; PMID: 23209147
WNT16	FZD2	WNT16_FZD2	WNT	KEGG: hsa04310; PMID: 23209147
WNT16	FZD3	WNT16_FZD3	WNT	KEGG: hsa04310; PMID: 23209147
WNT16	FZD4	WNT16_FZD4	WNT	KEGG: hsa04310; PMID: 23209147
WNT16	FZD5	WNT16_FZD5	WNT	KEGG: hsa04310; PMID: 23209147
WNT16	FZD6	WNT16_FZD6	WNT	KEGG: hsa04310; PMID: 23209147;32196115;
WNT16	FZD7	WNT16_FZD7	WNT	KEGG: hsa04310; PMID: 23209147
WNT16	FZD8	WNT16_FZD8	WNT	KEGG: hsa04310; PMID: 23209147
WNT16	FZD9	WNT16_FZD9	WNT	KEGG: hsa04310; PMID: 23209147
WNT2	FZD1	WNT2_FZD1	WNT	KEGG: hsa04310; PMID: 23209147;10557084
WNT2	LRP5	WNT2_LRP5	WNT	KEGG: hsa04310; PMID: 23209147
WNT2	FZD10	WNT2_FZD10	WNT	KEGG: hsa04310; PMID: 23209147
WNT2	FZD2	WNT2_FZD2	WNT	KEGG: hsa04310; PMID: 23209147;PMID: 24032637;24032637
WNT2	FZD3	WNT2_FZD3	WNT	KEGG: hsa04310; PMID: 23209147;PMID: 24032637;24032637
WNT2	FZD4	WNT2_FZD4	WNT	KEGG: hsa04310; PMID: 23209147;PMID: 24032637;24032637
WNT2	FZD5	WNT2_FZD5	WNT	KEGG: hsa04310; PMID: 23209147;26198319,32196115;18302287
WNT2	FZD6	WNT2_FZD6	WNT	KEGG: hsa04310; PMID: 23209147
WNT2	FZD7	WNT2_FZD7	WNT	KEGG: hsa04310; PMID: 23209147;26198319,32196115;23815780
WNT2	FZD8	WNT2_FZD8	WNT	KEGG: hsa04310; PMID: 23209147;23815780
WNT2	FZD9	WNT2_FZD9	WNT	KEGG: hsa04310; PMID: 23209147;PMID: 24032637;12138115
WNT2B	FZD1	WNT2B_FZD1	WNT	KEGG: hsa04310; PMID: 23209147
WNT2B	LRP5	WNT2B_LRP5	WNT	KEGG: hsa04310; PMID: 23209147
WNT2B	FZD10	WNT2B_FZD10	WNT	KEGG: hsa04310; PMID: 23209147
WNT2B	FZD2	WNT2B_FZD2	WNT	KEGG: hsa04310; PMID: 23209147
WNT2B	FZD3	WNT2B_FZD3	WNT	KEGG: hsa04310; PMID: 23209147
WNT2B	FZD4	WNT2B_FZD4	WNT	KEGG: hsa04310; PMID: 23209147;PMID: 24032637;24032637
WNT2B	FZD5	WNT2B_FZD5	WNT	KEGG: hsa04310; PMID: 23209147
WNT2B	FZD6	WNT2B_FZD6	WNT	KEGG: hsa04310; PMID: 23209147
WNT2B	FZD7	WNT2B_FZD7	WNT	KEGG: hsa04310; PMID: 23209147
WNT2B	FZD8	WNT2B_FZD8	WNT	KEGG: hsa04310; PMID: 23209147
WNT2B	FZD9	WNT2B_FZD9	WNT	KEGG: hsa04310; PMID: 23209147
WNT3	FZD1	WNT3_FZD1	WNT	KEGG: hsa04310; PMID: 23209147;10557084
WNT3	LRP5	WNT3_LRP5	WNT	KEGG: hsa04310; PMID: 23209147
WNT3	FZD10	WNT3_FZD10	WNT	KEGG: hsa04310; PMID: 23209147
WNT3	FZD2	WNT3_FZD2	WNT	KEGG: hsa04310; PMID: 23209147
WNT3	FZD3	WNT3_FZD3	WNT	KEGG: hsa04310; PMID: 23209147
WNT3	FZD4	WNT3_FZD4	WNT	KEGG: hsa04310; PMID: 23209147
WNT3	FZD5	WNT3_FZD5	WNT	KEGG: hsa04310; PMID: 23209147;32196115;
WNT3	FZD6	WNT3_FZD6	WNT	KEGG: hsa04310; PMID: 23209147
WNT3	FZD7	WNT3_FZD7	WNT	KEGG: hsa04310; PMID: 23209147;PMID: 24032637;18313787
WNT3	FZD8	WNT3_FZD8	WNT	KEGG: hsa04310; PMID: 23209147;18528331;18528331,15
WNT3	FZD9	WNT3_FZD9	WNT	KEGG: hsa04310; PMID: 23209147
WNT3A	FZD1	WNT3A_FZD1	WNT	KEGG: hsa04310; PMID: 23209147;10557084
WNT3A	LRP5	WNT3A_LRP5	WNT	KEGG: hsa04310; PMID: 23209147;25425204;
WNT3A	FZD10	WNT3A_FZD10	WNT	KEGG: hsa04310; PMID: 23209147
WNT3A	FZD2	WNT3A_FZD2	WNT	KEGG: hsa04310; PMID: 23209147;18215320
WNT3A	FZD3	WNT3A_FZD3	WNT	KEGG: hsa04310; PMID: 23209147;18212053
WNT3A	FZD4	WNT3A_FZD4	WNT	KEGG: hsa04310; PMID: 23209147
